"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.53503600007817e-268,0.859926111833745,0.991,0.912,3.15796332002892e-266,"6","Protein-CCR7"
4.53903217539244e-255,0.397882881835742,1,1,1.6794419048952e-253,"6","Protein-CD44"
1.57986412890655e-188,0.692817616821275,1,0.989,5.84549727695424e-187,"6","Protein-CD38"
7.31858716138788e-90,0.516796328193379,1,0.999,2.70787724971352e-88,"6","Protein-CD62L"
2.83308468666852e-298,3.24779919641609,0.998,0.86,1.04824133406735e-296,"7","Protein-CD19"
9.14493847295691e-282,2.42667870815296,1,0.984,3.38362723499406e-280,"7","Protein-HLA-DR"
1.5185725716803e-277,2.14702247135325,1,0.976,5.6187185152171e-276,"7","Protein-CD79b"
1.95579851674826e-176,1.7445407403483,0.994,0.761,7.23645451196856e-175,"7","Protein-CD45RA"
3.85821033864457e-148,1.04833334774656,1,0.989,1.42753782529849e-146,"7","Protein-CD38"
1.68246593450412e-136,1.24177615815628,0.998,0.921,6.22512395766524e-135,"7","Protein-CD31"
4.9381064047766e-134,2.23704099385068,0.619,0.192,1.82709936976734e-132,"7","Protein-CD40"
