Cells,BACH2(+),BCL6(+),EGR1(+),FOSB(+),FOXO1(+),FOXP1(+),IKZF1(+),IRF4(+),IRF8(+),JUN(+),JUNB(+),MYC(+),PAX5(+),PRDM1(+),RUNX3(+),STAT1(+),STAT3(+),STAT4(+),STAT5A(+),TBX21(+)
5749,0.125,0.02406417112299465,0.0744297719087635,0.08098891730605286,0.08431372549019608,0.0392156862745098,0.0196078431372549,0.04201680672268908,0.06839945280437756,0.06362545018007203,0.06566347469220246,0.04679144385026738,0.10084033613445378,0.0350140056022409,0.06025824964131994,0.06722689075630252,0.09191176470588236,0.043137254901960784,0.05536332179930796,0.08235294117647059
7720,0.05514705882352941,0.034759358288770054,0.0468187274909964,0.05285592497868713,0.0392156862745098,0.050980392156862744,0.0017825311942959,0.03361344537815126,0.058823529411764705,0.03241296518607443,0.03283173734610123,0.020053475935828877,0.03361344537815126,0.0014005602240896359,0.04591104734576758,0.13445378151260504,0.07720588235294118,0.0,0.1384083044982699,0.011764705882352941
8889,0.07720588235294118,0.0053475935828877,0.061224489795918366,0.058823529411764705,0.09019607843137255,0.03725490196078431,0.0570409982174688,0.026410564225690276,0.03967168262653899,0.03601440576230492,0.03419972640218878,0.026737967914438502,0.08403361344537816,0.014005602240896359,0.15494978479196556,0.029411764705882353,0.10110294117647059,0.0,0.020761245674740483,0.12352941176470589
10649,0.09558823529411764,0.0,0.07803121248499399,0.08610400682011936,0.08431372549019608,0.06666666666666667,0.017825311942959002,0.024009603841536616,0.03419972640218878,0.0468187274909964,0.0533515731874145,0.04144385026737968,0.08403361344537816,0.02661064425770308,0.09469153515064563,0.12605042016806722,0.08639705882352941,0.03333333333333333,0.09688581314878893,0.10294117647058823
11580,0.0,0.058823529411764705,0.028811524609843937,0.029838022165387893,0.043137254901960784,0.03333333333333333,0.0,0.021608643457382955,0.03419972640218878,0.01920768307322929,0.012311901504787962,0.012032085561497326,0.02100840336134454,0.03081232492997199,0.021520803443328552,0.09243697478991597,0.03125,0.021568627450980392,0.10034602076124567,0.05588235294117647
13268,0.01838235294117647,0.0213903743315508,0.05402160864345738,0.0733162830349531,0.1,0.08627450980392157,0.026737967914438502,0.05282112845138055,0.06566347469220246,0.04441776710684274,0.04103967168262654,0.03074866310160428,0.037815126050420166,0.0196078431372549,0.12625538020086083,0.12184873949579832,0.13051470588235295,0.013725490196078431,0.04498269896193772,0.11764705882352941
18278,0.03676470588235294,0.040106951871657755,0.04921968787515006,0.0443307757885763,0.01568627450980392,0.01568627450980392,0.0,0.024009603841536616,0.023255813953488372,0.010804321728691477,0.015047879616963064,0.0,0.06722689075630252,0.03361344537815126,0.015781922525107604,0.0546218487394958,0.04044117647058824,0.00196078431372549,0.10034602076124567,0.0
22313,0.11397058823529412,0.02406417112299465,0.04801920768307323,0.08269394714407502,0.08627450980392157,0.06862745098039216,0.0427807486631016,0.03721488595438175,0.07934336525307797,0.056422569027611044,0.0560875512995896,0.04144385026737968,0.037815126050420166,0.018207282913165267,0.06025824964131994,0.10504201680672269,0.08823529411764706,0.0,0.0657439446366782,0.04411764705882353
32049,0.0,0.07219251336898395,0.010804321728691477,0.02557544757033248,0.0,0.023529411764705882,0.0,0.061224489795918366,0.03146374829001368,0.022809123649459785,0.012311901504787962,0.013368983957219251,0.03361344537815126,0.018207282913165267,0.007173601147776184,0.09663865546218488,0.03308823529411765,0.00980392156862745,0.13494809688581316,0.0
37081,0.03308823529411765,0.03208556149732621,0.04201680672268908,0.06820119352088662,0.06666666666666667,0.07647058823529412,0.0196078431372549,0.04801920768307323,0.06155950752393981,0.04201680672268908,0.03283173734610123,0.02540106951871658,0.025210084033613446,0.023809523809523808,0.05308464849354376,0.14705882352941177,0.12683823529411764,0.0,0.09688581314878893,0.03529411764705882
