Cells,BACH2(+),BCL6(+),EGR1(+),FOSB(+),FOXO1(+),FOXP1(+),IKZF1(+),IRF4(+),IRF8(+),JUN(+),JUNB(+),MYC(+),PAX5(+),PRDM1(+),RUNX3(+),STAT1(+),STAT3(+),STAT4(+),STAT5A(+),TBX21(+)
175862,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
181952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
183413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
185894,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
188151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
188888,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
190048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
195759,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
201869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
202611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
202835,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
207658,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
214301,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
217618,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
218560,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
221533,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0
221947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225558,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
230089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
231102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
234242,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
239966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
241727,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
242387,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
243289,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0
246136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
248975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
249364,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
249585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
251128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252301,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0
252724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
253607,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
255618,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
255681,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
257069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
258905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
260509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
263563,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
264033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
264857,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
