TF,target,importance
BAX,SNCA,8.920032939670882
LEF1,CD44,8.877726807252282
POU2AF1,IGLC3,8.873127832606517
RUNX3,TARP-refseq,8.868381596933364
FOSB,BTLA,8.832784318033651
POU2AF1,IGHM-membrane,8.832303777610413
EGR1,TNF,8.823503964494856
LEF1,TXK,8.765875824594266
BCL11B,RGS1,8.765389243143956
FOXP1,CXCR4,8.747677155199435
FOSB,THBD,8.74032380131393
EGR1,EGR3,8.730324747826867
BAX,ALAS2,8.666364820341588
IRF4,TNFSF13,8.610759994818437
MYC,KCNE3,8.599047188233671
IRF4,IRF8,8.58730197970342
FOSB,CXCL1,8.579279480003184
POU2AF1,MS4A1,8.577852392003598
POU2AF1,IGHD-membrane,8.575454593874982
FOSB,CXCL2,8.566980139140297
PAX5,CD22,8.564556011911867
IKZF1,CD36,8.5603377774803
STAT5A,KIAA0101,8.5400295470095
FOSB,CASP5,8.525650328748956
RUNX3,IFITM3,8.501027037321089
LEF1,TNFSF8,8.438632708798625
IRF4,MZB1,8.427057404257905
MYC,EBF1,8.400810725662271
BAX,TLR8,8.39403284501449
STAT3,FAS,8.383122169994481
LEF1,ICOS,8.374976421552232
RUNX3,ITGB2,8.330941450216926
LEF1,LAT,8.298069707810006
FOSB,DUSP2,8.291331558558932
STAT5A,KIT,8.259417733687664
RUNX3,CD69,8.172700308384522
FOSB,PRDM1,8.17027556849487
FOSB,SLC7A7,8.167532123568389
RUNX3,CNOT2,8.164733423771606
BCL11B,CD5,8.151408361502906
LEF1,CD48,8.115863329972777
LEF1,PIK3IP1,8.114427165450909
RUNX3,ITGAX,8.114260054096299
IKZF1,TOP2A,8.108385469370628
IRF8,HLA-DQB1,8.10498396611106
PRDM1,FCN1,8.078429514361677
PRDM1,AQP9,8.075275439496279
LEF1,FAM65B,8.040008745517277
JUN,HLA-A,8.020656659610564
FOSB,CCR1,7.97440675395125
LEF1,LCK,7.939932362331835
BCL11B,BTG1,7.915178142788529
IRF8,HLA-DMA,7.8904259916297175
EGR1,YBX3,7.882603317304507
RUNX3,CD8A,7.85451775425303
